序号,平台,井号,设备名称,增压类型,增压日期,增压前瞬量（万方/天）,"增压后瞬量
（万方/天）",增压停止日期,"增压天数
（天）","增产气量
（万方）",日递减,累计增产气量（万方）,当日增产气量（万方）,备注
22,202H24,威202H24-1,DTY315天然气压缩机,平台增压,2023/11/21,8.7,8.9,2023/12/31,114,0.2,0.25%,20,0.2,DTY315天然气压缩机从威204H45平台迁入
,,威202H24-2,,,2023/11/21,9,9.3,2023/12/31,114,0.3,0.25%,30,0.2,
,,威202H24-3,,,2023/11/21,10.1,10.4,2023/12/31,114,0.3,0.25%,30,0.2,
,,威202H24-4,,,2023/11/21,8.4,8.6,2023/12/31,114,0.2,0.25%,20,0.2,
23,202H28,威202H28-1,DTY315天然气压缩机、DTY500天然气压缩机,平台增压,2023/4/29,2.8,3.2,2023/12/31,320,0.4,0.25%,91,0.2,倒流程后H47平台瞬量涨了1万，H54平台瞬量涨了1.5万，H79平台瞬量涨了1万，H28平台瞬量基本持平，合计涨了3.5万瞬量
,,威202H28-2,,,2023/4/29,6.4,6.8,2023/12/31,320,0.4,0.25%,87,0.2,
,,威202H28-3,,,2023/4/29,2.5,3.3,2023/12/31,320,0.8,0.25%,176,0.4,
,,威202H28-4,,,2023/4/29,11.9,12.3,2023/12/31,320,0.4,0.25%,80,0.2,
,,威202H28-5,,,2023/4/29,7.9,8.3,2023/12/31,320,0.4,0.25%,93,0.2,
,,威202H28-6,,,2023/4/29,6.4,6.7,2023/12/31,320,0.3,0.25%,66,0.1,
,,威202H28-7,,,2023/4/29,5.2,5.6,2023/12/31,320,0.4,0.25%,91,0.2,
,,威202H28-8,,,2023/4/29,4.4,4.8,2023/12/31,320,0.4,0.25%,92,0.2,
70,威204H79,威204H79-1,两台DTY500天然气压缩机,平台增压,2023/2/20,8.2,10.5,2023/12/31,386,2.3,0.25%,570,0.9,"1.增产气量为新管线投运和增压机投运两个措施增产量之和；
2.第二台500型压缩机为2023/8/11从202H19平台迁入，增压后无明显增产"
,,威204H79-2,,,2023/2/20,8.8,9.7,2023/12/31,386,0.9,0.25%,223,0.3,
,,威204H79-3,,,2023/2/20,10.7,11.8,2023/12/31,386,1.1,0.25%,273,0.4,
,,威204H79-4,,,2023/2/20,6.1,9.3,2023/12/31,386,3.2,0.25%,793,1.2,
,,威204H79-5,,,2023/2/20,4.5,6.6,2023/12/31,386,2.1,0.25%,520,0.8,
,,威204H79-6,,,2023/2/20,9.2,10.3,2023/12/31,341,1.1,0.25%,253,0.5,
,,威204H79-7,,,2023/2/20,8.2,10.3,2023/12/31,372,2.1,0.25%,509,0.8,
,,威204H79-8,,,2023/2/20,14.7,16.6,2023/12/31,341,1.9,0.25%,436,0.8,
,,威204H79-9,,,2023/2/20,11.8,16.7,2023/12/31,341,4.9,0.25%,1125,2.1,
,,威204H79-10,,,2023/2/20,15,17.4,2023/12/31,372,2.4,0.25%,582,0.9,
,,威204H79-11,,,2023/2/20,17.3,20.7,2023/12/31,372,3.4,0.25%,824,1.3,
,,威204H52-4,,,2022/12/19,7.1,10.8,2023/12/31,451,3.7,0.25%,1001,1.2,
64,204H52,威204H52-1,DTY315天然气压缩机,平台增压,2022/12/18,7.2,11.3,2023/12/31,452,4.1,0.25%,1111,1.3,原202H3平台搬来
57,204H47,威204H47-3,DTY500天然气压缩机,平台增压,2022/12/4,8.2,9.5,2023/12/31,466,1.3,0.25%,358,0.4,/
,,威204H47-5,,,2022/12/4,8.1,8.3,2023/12/31,466,0.2,0.25%,55,0.1,
,,威204H47-6,,,2022/12/4,6.3,8.8,2023/12/31,466,2.5,0.25%,689,0.8,
,,威204H47-7,,,2022/12/4,7.6,11.8,2023/12/31,466,4.2,0.25%,1157,1.3,
47,204H37,威204H37-1,DTY500天然气压缩机,平台增压,2022/10/21,0,1.1,2023/12/31,510,1.1,0.25%,317,0.3,/
,,威204H37-2,,,2022/10/21,4.5,4.9,2023/12/31,510,0.4,0.25%,115,0.1,
,,威204H37-3,,,2022/10/21,5.3,5.7,2023/12/31,510,0.4,0.25%,115,0.1,
,,威204H37-4,,,2022/10/21,0,1.5,2023/12/31,510,1.5,0.25%,433,0.4,
,,威204H37-5,,,2022/10/21,0,0,2023/12/31,510,0,0.25%,0,0,
,,威204H37-6,,,2022/10/21,0,0,2023/12/31,510,0,0.25%,0,0,
,,威204H37-7,,,2022/10/21,0.7,1.2,2023/12/31,510,0.5,0.25%,144,0.1,
