井号,施工日期,停止施工日期或当前日期,"施工前日产
（万方/天）","施工后日产
（万方/天）",日递减
威202H24-2,2023/10/29,2023/10/31,9.2123,9.2879,0.06%
威202H24-4,2023/10/29,2023/10/31,8.251,8.696,0.06%
威202H19-7,2023/10/26,2023/10/31,1.6767,1.0573,0.06%
威202H15-1,2023/10/25,2023/10/31,1.5092,0.9847,0.06%
威202H15-6,2023/10/25,2023/10/31,1.4695,1.1472,0.06%
威204H39-4,2023/10/24,2023/10/31,1.2548,1.7219,0.06%
威202H13-2,2023/10/24,2023/10/31,2.541,1.6282,0.06%
威202H18-1,2023/10/23,2023/10/30,1.4648,1.3182,0.06%
威202H18-3,2023/10/23,2023/10/30,0.3235,0.2479,0.06%
威204H43-4,2023/10/9,2023/10/31,1.2688,1.3962,0.06%
威204H40-4,2023/10/8,2023/10/31,0.5193,0.7651,0.06%
威204H10-5,2023/10/8,2023/10/31,0.1751,0.1761,0.06%
威204H52-2,2023/10/8,2023/10/31,1.7663,1.9767,0.06%
威204H52-1,2023/10/2,2023/10/31,1.3303,1.8884,0.06%
威204H41-2,2023/10/1,2023/10/31,1.4809,1.3246,0.06%
威202H21-3,2023/10/1,2023/10/31,9.2467,8.8551,0.06%
威202H18-4,2023/9/25,2023/10/30,0.5053,0.6696,0.06%
威202H16-8,2023/9/22,2023/10/31,0.1965,0.3833,0.06%
威202H21-2,2023/9/5,2023/10/31,8.9431,9.5354,0.06%
威204H5-2,2023/9/4,2023/10/31,0.1822,0.2766,0.06%
威204H5-3,2023/9/4,2023/10/31,0.0867,0.2884,0.06%
威204H5-1,2023/9/4,2023/10/31,0.3328,0.3292,0.06%
威204H48-5,2023/9/3,2023/9/22,2.2513,1.7785,0.06%
威204H37-1,2023/8/24,2023/10/31,1.6098,2.2943,0.06%
威204H54-3,2023/8/17,2023/8/23,1.0719,1.062,0.06%
威204H79-3,2023/8/13,2023/8/14,4.4764,4.0786,0.06%
威204H45-7,2023/8/2,2023/10/31,1.3241,0.7723,0.06%
威204H45-8,2023/8/2,2023/10/31,1.1117,0.9653,0.06%
威204H48-2,2023/8/2,2023/8/18,1.9954,1.0988,0.06%
威204H9-5,2023/7/22,2023/10/31,0.146,0.17,0.06%
威204H10-1,2023/7/22,2023/10/31,0.8958,1.3821,0.06%
威202H19-6,2023/7/19,2023/10/31,0.5257,1.0791,0.06%
威204H54-4,2023/7/18,2023/10/31,1.3238,1.7638,0.06%
威202H19-5,2023/7/15,2023/10/31,0.7549,1.1105,0.06%
威204H36-5,2023/7/13,2023/10/31,2.3004,2.7371,0.06%
威204H36-1,2023/7/13,2023/10/31,2.3004,2.7371,0.06%
威204H36-8,2023/7/12,2023/10/31,1.1714,2.6632,0.06%
威204H9-6,2023/7/9,2023/10/31,0.2917,0.6432,0.06%
威204H9-2,2023/7/9,2023/10/31,0.4024,0.3424,0.06%
威202H22-7,2023/7/9,2023/10/31,1.7009,1.7463,0.06%
威204H41-1,2023/7/7,2023/10/31,1.4396,1.5863,0.06%
威204H47-11,2023/7/7,2023/7/24,5.0992,5.9034,0.06%
威204H54-6,2023/7/7,2023/8/7,0.7749,1.2263,0.06%
威202H13-6,2023/6/27,2023/10/31,2.541,1.5043,0.06%
威204H40-7,2023/6/25,2023/10/31,1.5302,0.9536,0.06%
威204H12-8,2023/6/25,2023/10/31,1.8294,2.6365,0.06%
威202H21-5,2023/6/21,2023/10/31,2.6952,1.3723,0.06%
威204H4-5,2023/6/21,2023/10/31,0.4156,0.4361,0.06%
威204H51-5,2023/6/19,2023/10/31,1.3145,1.1351,0.06%
威204H79-2,2023/6/19,2023/7/10,5.2821,4.8028,0.06%
威204H34-8,2023/6/18,2023/10/31,0.2014,1.0213,0.06%
威202H10-4,2023/6/15,2023/10/31,1.5189,1.9582,0.06%
威202H22-8,2023/6/13,2023/10/31,1.0877,1.3283,0.06%
威204H9-1,2023/6/12,2023/10/31,0.4197,0.4679,0.06%
威204H9-3,2023/6/12,2023/10/31,0.4049,0.5226,0.06%
威202H3-6,2023/6/12,2023/10/31,0.2403,0.678,0.06%
威202H11-4,2023/6/9,2023/10/31,0.177,0.9597,0.06%
威202H11-6,2023/6/9,2023/10/31,0.0578,0.6579,0.06%
威204H4-4,2023/6/8,2023/10/31,0.1737,0.1275,0.06%
威204H36-4,2023/6/3,2023/10/31,1.567,1.887,0.06%
威202H22-6,2023/6/2,2023/10/31,0.6671,1.6665,0.06%
威202H22-5,2023/5/29,2023/10/31,1.0877,1.3039,0.06%
威202H16-8,2023/5/18,2023/5/22,0.1479,0.1968,0.06%
威204H37-4,2023/5/17,2023/10/31,2.3668,1.596,0.06%
威204H34-8,2023/5/16,2023/5/23,0.6622,0.2995,0.06%
威204H50-4,2023/5/15,2023/10/31,0.4043,0.2516,0.06%
威204H79-11,2023/5/11,2023/7/16,15.5338,14.5319,0.06%
威202H13-6,2023/5/11,2023/5/22,0.1248,0.4125,0.06%
威204H50-2,2023/5/10,2023/5/22,0.5128,0.4839,0.06%
威202H23-7,2023/5/10,2023/10/31,2.7568,2.9715,0.06%
威204H11-3,2023/5/9,2023/5/22,0.7862,0.7254,0.06%
威204H79-10,2023/5/9,2023/7/15,9.8224,10.5498,0.06%
威204H79-8,2023/5/8,2023/6/17,8.6575,8.5373,0.06%
威204H47-11,2023/5/8,2023/6/27,12.8511,10.6252,0.06%
威204H41-2,2023/4/28,2023/5/16,1.6038,1.3794,0.06%
威204H45-7,2023/4/28,2023/5/8,2.2276,1.4512,0.06%
威204H45-8,2023/4/28,2023/5/1,2.1172,1.5793,0.06%
威204H36-8,2023/4/27,2023/5/4,3.0174,2.503,0.06%
威204H79-6,2023/4/26,2023/5/20,6.7889,8.1579,0.06%
威204H36-5,2023/4/25,2023/5/23,3.4082,2.6582,0.06%
威202H13-7,2023/4/25,2023/10/31,0.1888,0.7814,0.06%
威204H5-1,2023/4/23,2023/8/19,0.498,0.4645,0.06%
威204H79-7,2023/4/19,2023/7/15,7.7837,10.8639,0.06%
威204H79-9,2023/4/19,2023/6/15,8.2675,10.0115,0.06%
威204H48-1,2023/4/13,2023/10/31,2.1069,1.7045,0.06%
威204H47-10,2023/4/13,2023/6/26,7.497,10.315,0.06%
威202H22-6,2023/4/12,2023/4/23,0.6021,0.4127,0.06%
威204H48-3,2023/4/12,2023/10/31,1.6693,1.4598,0.06%
威204H48-4,2023/4/12,2023/10/31,1.2602,1.2635,0.06%
威204H5-2,2023/4/12,2023/8/19,0.2292,0.2129,0.06%
威204H5-3,2023/4/12,2023/8/19,0.2503,0.2667,0.06%
威204H5-5,2023/4/12,2023/8/19,0.1735,0.1329,0.06%
威204H41-3,2023/4/11,2023/10/31,1.423,1.4659,0.06%
威202H22-5,2023/4/9,2023/4/23,0.2009,0.3979,0.06%
威202H22-8,2023/4/9,2023/5/8,1.6641,1.4825,0.06%
威204H10-1,2023/4/5,2023/4/13,1.1123,1.0734,0.06%
威204H42-5,2023/4/3,2023/10/31,1.4339,1.5672,0.06%
威204H42-2,2023/3/29,2023/10/31,0.6901,0.2367,0.06%
威204H35-5,2023/3/22,2023/10/31,0.8069,1.12,0.06%
威204H6-2,2023/3/22,2023/10/31,0.5466,0.5236,0.06%
威204H6-6,2023/3/22,2023/10/31,0.4308,0.4657,0.06%
威202H3-2,2023/3/20,2023/3/30,0.4236,0.5632,0.06%
威204H4-4,2023/3/20,2023/5/5,0.1642,0.1589,0.06%
威202H18-4,2023/3/15,2023/8/22,1.7603,1.5735,0.06%
威202H15-2,2023/3/12,2023/10/31,1.5089,2.0365,0.06%
威204H10-5,2023/3/2,2023/5/23,0.1688,0.2074,0.06%
威204H39-2,2023/2/22,2023/10/31,0.9728,1.2206,0.06%
威202H3-6,2023/2/17,2023/5/8,1.0269,1.5135,0.06%
威204H1-2,2023/2/17,2023/10/31,0.3855,0.375,0.06%
威204H1-3,2023/2/17,2023/10/31,0.2669,0.2607,0.06%
威202H23-6,2023/2/17,2023/3/2,2.5482,2.0202,0.06%
威202H23-7,2023/2/17,2023/3/2,2.3793,1.3917,0.06%
威204H12-6,2023/2/13,2023/10/31,2.1228,1.5117,0.06%
威204H69-4,2023/2/12,2023/10/31,0.4036,1.1355,0.06%
威202H1-4,2023/2/9,2023/10/31,0.4886,0.6441,0.06%
威202H1-5,2023/2/9,2023/10/31,0.8253,1.0447,0.06%
威202H1-6,2023/2/9,2023/10/31,0.7208,1.1872,0.06%
威202H3-5,2023/2/8,2023/10/31,0.5326,1.0912,0.06%
威202H16-8,2023/2/6,2023/4/17,0.2983,0.2282,0.06%
威204H37-5,2023/2/3,2023/10/31,0.6792,0.8592,0.06%
威204H12-4,2023/2/1,2023/10/31,1.0775,1.4622,0.06%
威204H34-1,2023/1/29,2023/10/31,0.7969,1.144,0.06%
威204H34-2,2023/1/29,2023/10/31,0.9322,1.3203,0.06%
威204H34-3,2023/1/29,2023/10/31,0.7477,0.6874,0.06%
威204H34-4,2023/1/29,2023/10/31,2.6279,1.4111,0.06%
威204H34-6,2023/1/29,2023/10/31,2.7201,1.4922,0.06%
威204H37-3,2023/1/28,2023/10/31,2.5569,4.1134,0.06%
威204H37-7,2023/1/28,2023/10/31,0.49,0.8615,0.06%
威204H37-8,2023/1/28,2023/10/31,0.4663,0.69,0.06%
威204H37-2,2023/1/28,2023/10/31,3.3348,1.6371,0.06%
威202H14-6,2023/1/28,2023/10/31,2.4662,1.8867,0.06%
威204H41-4,2023/1/22,2023/10/31,1.4653,1.7108,0.06%
威204H10-2,2023/1/19,2023/10/31,0.4997,0.4798,0.06%
威204H10-3,2023/1/19,2023/6/8,0.8588,0.7974,0.06%
威204H10-4,2023/1/19,2023/10/31,0.1862,0.1225,0.06%
威204H39-7,2023/1/14,2023/10/31,1.2183,0.8312,0.06%
威204H39-3,2023/1/13,2023/10/31,2.1256,0.9566,0.06%
威204H36-7,2023/1/13,2023/10/31,2.3004,2.7371,0.06%
威204H35-5,2023/1/12,2023/2/16,1.595,1.449,0.06%
